summoner,matchId,champion,gameTime,win,kills,deaths,assists,KDA_ratio,gold_earned,CS_total,CS_per_min,G_per_min,XP_per_min,Vision_total,Vision_per_min,Damage_to_Champions,Damage_per_min,Damage_Taken,Damage_per_Gold,Kill_Participation_%,CS_0_15,Gold_0_15,XP_0_15,CS_per_min_0_15,Gold_per_min_0_15,XP_per_min_0_15,LaneDiff_CS_0_15,LaneDiff_Gold_0_15,LaneDiff_XP_0_15,LaneDiff_CS_End,LaneDiff_Gold_End,LaneDiff_XP_End
허거덩#0303,KR_7825268802,Orianna,30:51,True,7,5,18,5.0,13774,238,7.71,446.5,634.6,22,0.71,41206,1335.7,31134,2.992,83.3,138,5414,8398,9.2,360.9,559.9,58,1644,1999,71,2679,5965
허거덩#0303,KR_7823909238,Ryze,38:46,True,11,7,11,3.14,20135,368,9.49,519.4,640.6,49,1.26,49125,1267.2,47317,2.44,53.7,131,5285,7407,8.73,352.3,493.8,9,525,371,131,4577,6178
허거덩#0303,KR_7823877005,Orianna,15:12,True,3,0,6,9.0,7268,143,9.41,478.2,534.3,10,0.66,14790,973.0,7142,2.035,45.0,142,6714,8122,9.47,447.6,541.5,28,2614,899,29,2644,899
허거덩#0303,KR_7823794909,Ryze,37:24,True,15,5,9,4.8,22993,394,10.53,614.8,744.2,38,1.02,47011,1257.0,48312,2.045,64.9,146,6338,8121,9.73,422.5,541.4,37,1264,1017,128,6730,9486
허거덩#0303,KR_7823727647,Aurora,27:30,False,12,5,6,3.6,12973,235,8.55,471.7,589.5,31,1.13,39290,1428.7,33448,3.029,69.2,133,6042,8153,8.87,402.8,543.5,42,1834,2280,42,1682,920
허거덩#0303,KR_7818363775,Orianna,36:13,True,12,9,15,3.0,18579,282,7.79,513.0,671.0,33,0.91,43296,1195.5,34169,2.33,73.0,123,5041,6990,8.2,336.1,466.0,-13,-1191,-282,13,3233,6504
허거덩#0303,KR_7816289938,Galio,18:33,True,5,2,3,4.0,7827,147,7.92,421.9,531.1,17,0.92,13458,725.5,17559,1.719,33.3,124,5590,7995,8.27,372.7,533.0,23,494,1354,23,1039,1667
허거덩#0303,KR_7816210870,Ryze,31:40,False,9,5,6,3.0,17054,303,9.57,538.5,625.7,37,1.17,35258,1113.4,35949,2.067,75.0,153,5490,7661,10.2,366.0,510.7,25,963,308,59,3623,1850
허거덩#0303,KR_7816189058,JarvanIV,15:29,False,2,4,2,1.0,5507,101,6.52,355.7,373.9,12,0.78,4915,317.4,17423,0.893,44.4,101,4884,5576,6.73,325.6,371.7,-19,-2572,-1979,-19,-2895,-2215
허거덩#0303,KR_7816138254,Ambessa,20:49,False,6,6,1,1.17,9278,168,8.07,445.7,520.1,13,0.62,20029,962.2,25187,2.159,70.0,113,6096,6860,7.53,406.4,457.3,0,151,-304,29,-152,590
허거덩#0303,KR_7816097013,Orianna,15:13,True,4,0,1,5.0,7554,161,10.58,496.4,549.6,7,0.46,14237,935.6,5662,1.885,41.7,161,7028,8303,10.73,468.5,553.5,51,3049,1511,51,3050,1571
허거덩#0303,KR_7815541026,Sion,31:22,False,4,8,11,1.88,13495,252,8.03,430.2,546.3,32,1.02,37141,1184.1,71091,2.752,53.6,134,6053,8049,8.93,403.5,536.6,44,1926,1461,41,715,-309
허거덩#0303,KR_7815465214,Akali,31:45,True,9,9,9,2.0,13099,186,5.86,412.6,515.7,26,0.82,23765,748.5,36774,1.814,51.4,99,5068,6772,6.6,337.9,451.5,-18,-1811,-1276,14,-380,1257
허거덩#0303,KR_7814236687,Orianna,41:42,True,12,6,12,4.0,22607,343,8.23,542.1,634.0,51,1.22,58403,1400.6,34095,2.583,68.6,144,5108,7797,9.6,340.5,519.8,24,868,265,81,6861,4502
허거덩#0303,KR_7814123315,Ambessa,21:41,False,2,6,1,0.5,7289,179,8.26,336.2,494.6,14,0.65,19755,911.1,23031,2.71,27.3,138,4725,7620,9.2,315.0,508.0,-2,-1284,-824,-10,-2394,-3077
허거덩#0303,KR_7813875450,Yasuo,15:15,True,3,1,3,6.0,7244,154,10.1,475.0,590.3,8,0.52,6468,424.1,13082,0.893,22.2,149,6563,8692,9.93,437.5,579.5,44,1891,2275,49,2041,2375
